date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:10	43069/43069	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:15%20GMT	http://www.seafoodexpress.in/index.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/index.html	(from )
17:34:10	60/60	---M-Z	200	added ('OK')	text/plain	date:Tue,%2019%20Feb%202013%2017:28:28%20GMT	http://www.seafoodexpress.in/robots.txt		(from )
17:34:11	54267/54267	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Dec%202012%2011:53:44%20GMT	http://www.seafoodexpress.in/js/jquery.js	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/js/jquery.js	(from http://www.seafoodexpress.in/index.html)
17:34:11	14967/14967	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:02:58%20GMT	http://www.seafoodexpress.in/black_tiger_shrimps.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/black_tiger_shrimps.html	(from http://www.seafoodexpress.in/index.html)
17:34:12	15032/15032	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:14%20GMT	http://www.seafoodexpress.in/vannamei_shrimps.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/vannamei_shrimps.html	(from http://www.seafoodexpress.in/index.html)
17:34:12	11487/11487	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:12%20GMT	http://www.seafoodexpress.in/scampi.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/scampi.html	(from http://www.seafoodexpress.in/index.html)
17:34:12	20780/20780	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:12%20GMT	http://www.seafoodexpress.in/pangasius.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/pangasius.html	(from http://www.seafoodexpress.in/index.html)
17:34:14	27994/27994	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:14%20GMT	http://www.seafoodexpress.in/crustaceans.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/crustaceans.html	(from http://www.seafoodexpress.in/index.html)
17:34:14	15498/15498	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:12%20GMT	http://www.seafoodexpress.in/cephalopods.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/cephalopods.html	(from http://www.seafoodexpress.in/index.html)
17:34:15	11029/11029	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:12%20GMT	http://www.seafoodexpress.in/molluscs.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/molluscs.html	(from http://www.seafoodexpress.in/index.html)
17:34:15	11153/11153	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:03%20GMT	http://www.seafoodexpress.in/surimi.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/surimi.html	(from http://www.seafoodexpress.in/index.html)
17:34:15	5980/5980	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Dec%202012%2011:53:42%20GMT	http://www.seafoodexpress.in/js/easySlider1.7.js	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/js/easySlider1.7.js	(from http://www.seafoodexpress.in/index.html)
17:34:16	2407/2407	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Dec%202012%2011:53:41%20GMT	http://www.seafoodexpress.in/css/screen.css	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/css/screen.css	(from http://www.seafoodexpress.in/index.html)
17:34:16	44545/44545	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Feb%202013%2016:03:14%20GMT	http://www.seafoodexpress.in/fishes.html	C:/My%20Web%20Sites/seacliff/www.seafoodexpress.in/fishes.html	(from http://www.seafoodexpress.in/index.html)
